Kpoints, Energy(Ryd)
10, -1998.57508373
11, -1998.57508387
12, -1998.57508386
4, -1998.57505825
5, -1998.57508545
6, -1998.57508385
7, -1998.57508391
8, -1998.57508394
9, -1998.57508392
