Kpoints, Energy(Ryd)
10, -1597.98224829
11, -1597.98224801
12, -1597.98224797
4, -1597.98223933
5, -1597.98224887
6, -1597.98224845
7, -1597.98224916
8, -1597.98224825
9, -1597.98224795
